experiment,factor,factor_label,level,build,iteration,n,quality_median,quality_q05,quality_q95,test_error_median,h_median,anisotropy_median
diagnostic-manifold-base,N_loc,N_loc,20,ADP,0,55,nan,nan,nan,nan,1.6605951643384131,nan
diagnostic-manifold-base,N_loc,N_loc,20,ADP,1,62,nan,nan,nan,nan,1.1751947486693848,nan
diagnostic-manifold-base,N_loc,N_loc,20,ADP,2,62,nan,nan,nan,nan,0.8309881759989424,nan
diagnostic-manifold-base,N_phi,N_phi,10,ADP,0,56,nan,nan,nan,nan,1.6619763519978847,nan
diagnostic-manifold-base,N_phi,N_phi,10,ADP,1,63,nan,nan,nan,nan,1.1761713958294884,nan
diagnostic-manifold-base,N_phi,N_phi,10,ADP,2,61,nan,nan,nan,nan,0.8316787698286782,nan
diagnostic-manifold-base,N_J,N_J,24,ADP,0,69,nan,nan,nan,nan,1.6605951643384131,nan
diagnostic-manifold-base,N_J,N_J,24,ADP,1,76,nan,nan,nan,nan,1.1761713958294884,nan
diagnostic-manifold-base,N_J,N_J,24,ADP,2,74,nan,nan,nan,nan,0.8316787698286782,nan
diagnostic-manifold-base,N_manifold,N_manifold,6,ADP,0,54,nan,nan,nan,nan,1.6633575396573566,nan
diagnostic-manifold-base,N_manifold,N_manifold,6,ADP,1,61,nan,nan,nan,nan,1.1761713958294884,nan
diagnostic-manifold-base,N_manifold,N_manifold,6,ADP,2,59,nan,nan,nan,nan,0.8316787698286782,nan
diagnostic-manifold-base,lambda_manifold,λ_M,0.5,ADP,0,55,nan,nan,nan,nan,1.6633575396573566,nan
diagnostic-manifold-base,lambda_manifold,λ_M,0.5,ADP,1,62,nan,nan,nan,nan,1.1761713958294884,nan
diagnostic-manifold-base,lambda_manifold,λ_M,0.5,ADP,2,60,nan,nan,nan,nan,0.8316787698286782,nan
diagnostic-manifold-base,sync_steps,шаги синхронизации,1,ADP,0,62,nan,nan,nan,nan,1.6619763519978847,nan
diagnostic-manifold-base,sync_steps,шаги синхронизации,1,ADP,1,62,nan,nan,nan,nan,1.1751947486693848,nan
diagnostic-manifold-base,sync_steps,шаги синхронизации,1,ADP,2,60,nan,nan,nan,nan,0.8316787698286782,nan
diagnostic-manifold-base,N_loc,N_loc,10,ADP,0,4,nan,nan,nan,nan,1.2973496173631576,nan
diagnostic-manifold-base,N_loc,N_loc,10,ADP,1,4,nan,nan,nan,nan,0.9173647120072614,nan
diagnostic-manifold-base,N_loc,N_loc,10,ADP,2,2,nan,nan,nan,nan,0.675300487393117,nan
diagnostic-manifold-base,N_loc,N_loc,30,ADP,0,10,nan,nan,nan,nan,1.8802694043025219,nan
diagnostic-manifold-base,N_loc,N_loc,30,ADP,1,10,nan,nan,nan,nan,1.3295512462399033,nan
