experiment,point,point_label,run,seed,build,status,error
diagnostic-multi-base,0,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",0,0,ADP,nonconverged,
diagnostic-multi-base,0,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,0,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",7,7,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",0,0,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",1,1,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",2,2,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",3,3,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",4,4,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",5,5,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",7,7,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",8,8,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",10,10,ADP,nonconverged,
diagnostic-multi-base,1,"N_loc=10, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",11,11,ADP,nonconverged,
diagnostic-multi-base,2,"N_loc=30, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",1,1,ADP,nonconverged,
diagnostic-multi-base,2,"N_loc=30, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",2,2,ADP,nonconverged,
diagnostic-multi-base,2,"N_loc=30, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",3,3,ADP,nonconverged,
diagnostic-multi-base,2,"N_loc=30, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",0,0,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",1,1,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",2,2,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",3,3,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",4,4,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",5,5,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",7,7,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",8,8,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",9,9,ADP,nonconverged,
diagnostic-multi-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",10,10,ADP,nonconverged,
diagnostic-multi-base,4,"N_loc=20, N_phi=16, N_J=24, solver_max_steps=50, lambda_penalty=0.05",0,0,ADP,nonconverged,
diagnostic-multi-base,4,"N_loc=20, N_phi=16, N_J=24, solver_max_steps=50, lambda_penalty=0.05",2,2,ADP,nonconverged,
diagnostic-multi-base,4,"N_loc=20, N_phi=16, N_J=24, solver_max_steps=50, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,4,"N_loc=20, N_phi=16, N_J=24, solver_max_steps=50, lambda_penalty=0.05",8,8,ADP,nonconverged,
diagnostic-multi-base,4,"N_loc=20, N_phi=16, N_J=24, solver_max_steps=50, lambda_penalty=0.05",11,11,ADP,nonconverged,
diagnostic-multi-base,5,"N_loc=20, N_phi=8, N_J=48, solver_max_steps=50, lambda_penalty=0.05",5,5,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",0,0,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",1,1,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",2,2,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",3,3,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",4,4,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",5,5,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",7,7,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",8,8,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",9,9,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",10,10,ADP,nonconverged,
diagnostic-multi-base,6,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=20, lambda_penalty=0.05",11,11,ADP,nonconverged,
diagnostic-multi-base,7,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=80, lambda_penalty=0.05",6,6,ADP,nonconverged,
diagnostic-multi-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",0,0,ADP,nonconverged,
diagnostic-multi-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",5,5,ADP,numerical_failure,RuntimeError: unregularized HPAO step failed the trust certificate
diagnostic-multi-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",6,6,ADP,numerical_failure,RuntimeError: unregularized HPAO step failed the trust certificate
diagnostic-multi-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",7,7,ADP,nonconverged,
diagnostic-multi-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",11,11,ADP,numerical_failure,RuntimeError: unregularized HPAO step failed the trust certificate
diagnostic-multi-base,9,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.2",0,0,ADP,nonconverged,
diagnostic-multi-base,9,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.2",6,6,ADP,nonconverged,
diagnostic-multi-base,9,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.2",7,7,ADP,nonconverged,
