experiment,title,factor,factor_label,level,build,quality_metric,quality_direction,n_total,n_success,n_nonconverged,n_failure,failure_rate,initial_quality_median,last_quality_median,selected_quality_median,selected_quality_q05,selected_quality_q95,max_principal_sine_median,max_principal_sine_q05,max_principal_sine_q95,max_principal_angle_deg_median,max_principal_angle_deg_q05,max_principal_angle_deg_q95,fit_time_median_sec,peak_memory_median_mib
diagnostic-single-base,"single: base, local parameter variants",N_loc,N_loc,20,ADP,cosine_abs,higher,96,94,1,1,0.010416666666666666,0.9957438471666452,0.9998016732892553,0.9998029511212069,0.9993360638402228,0.9999653173917049,nan,nan,nan,nan,nan,nan,0.2519134670001222,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",N_loc,N_loc,10,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9995633506709625,0.9995633506709625,0.9987255616285422,0.9998384709324434,nan,nan,nan,nan,nan,nan,0.3273915969984955,0.29982757568359375
diagnostic-single-base,"single: base, local parameter variants",N_loc,N_loc,30,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9998124622540051,0.9998124622540051,0.999590117621901,0.9999487021406397,nan,nan,nan,nan,nan,nan,0.2385347350009397,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",N_phi,N_phi,8,ADP,cosine_abs,higher,96,95,0,1,0.010416666666666666,0.9957438471666452,0.9997938973165061,0.9997854576667276,0.9993360638300111,0.9999808807075415,nan,nan,nan,nan,nan,nan,0.25151130800077226,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",N_phi,N_phi,4,ADP,cosine_abs,higher,12,11,1,0,0.0,0.9956708184470868,0.9997742475242137,0.9997885056797731,0.9991517737306987,0.9998960242853694,nan,nan,nan,nan,nan,nan,0.3554290749998472,0.6432571411132812
diagnostic-single-base,"single: base, local parameter variants",N_phi,N_phi,16,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9998145973277504,0.9998145973277504,0.999553718869526,0.9999143843281586,nan,nan,nan,nan,nan,nan,0.2428682879981352,1.7199172973632812
diagnostic-single-base,"single: base, local parameter variants",N_J,N_J,24,ADP,cosine_abs,higher,108,106,1,1,0.009259259259259259,0.9957438471666452,0.9997731569781368,0.9997731569781368,0.9993360638300111,0.9999635226203136,nan,nan,nan,nan,nan,nan,0.253149513999233,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",N_J,N_J,48,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9962543036737372,0.9998269421527493,0.9998269421527493,0.9996676061180734,0.9999470617647039,nan,nan,nan,nan,nan,nan,0.26961771650167066,1.3394241333007812
diagnostic-single-base,"single: base, local parameter variants",solver_max_steps,k_max,50,ADP,cosine_abs,higher,96,94,1,1,0.010416666666666666,0.9957438471666452,0.9997854576667276,0.9997854576667276,0.9993360638285524,0.9999439020461931,nan,nan,nan,nan,nan,nan,0.26067658299871255,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",solver_max_steps,k_max,20,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9997539268521876,0.9997539268521876,0.9993991643247505,0.9999490575476816,nan,nan,nan,nan,nan,nan,0.24873761949856998,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",solver_max_steps,k_max,80,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9997539268521876,0.9997539268521876,0.9993991643247505,0.9999490575476816,nan,nan,nan,nan,nan,nan,0.2499031355000625,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",lambda_penalty,λ,0.05,ADP,cosine_abs,higher,96,95,1,0,0.0,0.9957344871744238,0.999785240944002,0.999785240944002,0.9993360638300111,0.9999428488066895,nan,nan,nan,nan,nan,nan,0.2621166760000051,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",lambda_penalty,λ,0.0,ADP,cosine_abs,higher,12,11,0,1,0.08333333333333333,0.9957438471666452,0.9998029511214482,0.9998029511214482,0.9993934279131371,0.9999519505622367,nan,nan,nan,nan,nan,nan,0.22421991300143418,1.0021438598632812
diagnostic-single-base,"single: base, local parameter variants",lambda_penalty,λ,0.2,ADP,cosine_abs,higher,12,12,0,0,0.0,0.9956708184470868,0.9997539268517945,0.9997539268517945,0.9993991643332041,0.9999490575477024,nan,nan,nan,nan,nan,nan,0.23837991849904938,1.0021438598632812
