experiment,factor,factor_label,level,build,iteration,n,quality_median,quality_q05,quality_q95,test_error_median,h_median,anisotropy_median
diagnostic-single-base,N_loc,N_loc,20,ADP,0,95,0.9956616059307833,0.9820933061358799,0.9990857457427265,13.620792669003324,2.3656371541630676,1.0
diagnostic-single-base,N_loc,N_loc,20,ADP,1,95,0.9987638919608084,0.9923226238450709,0.9996102143569233,7.74188557646705,1.6727580735355512,0.6556706577539444
diagnostic-single-base,N_loc,N_loc,20,ADP,2,95,0.9994918605644812,0.9983111185602104,0.9998718057570285,3.171649980369735,1.1828185770815336,0.42394062876701355
diagnostic-single-base,N_loc,N_loc,20,ADP,3,95,0.9997582131200313,0.9994462565478546,0.999935300290782,1.920818863363696,0.8363790367677754,0.27040067315101624
diagnostic-single-base,N_loc,N_loc,20,ADP,4,95,0.9998016732892553,0.9993360638402228,0.9999653173917049,1.214372307640534,0.5914092885407667,0.169460266828537
diagnostic-single-base,N_phi,N_phi,8,ADP,0,95,0.996048214245011,0.9837525269971988,0.9989318048173738,13.620792669003324,2.3656371541630676,1.0
diagnostic-single-base,N_phi,N_phi,8,ADP,1,95,0.9987598184203887,0.9907649936204174,0.9996092758175555,7.74188557646705,1.6727580735355512,0.6571917682886124
diagnostic-single-base,N_phi,N_phi,8,ADP,2,95,0.9994918605644812,0.9983111185602104,0.9998700583641557,3.2172419035179196,1.1828185770815336,0.42428654432296753
diagnostic-single-base,N_phi,N_phi,8,ADP,3,95,0.9997729586505757,0.9994501083375432,0.999935300290782,1.875322950686841,0.8363790367677754,0.27050480246543884
diagnostic-single-base,N_phi,N_phi,8,ADP,4,95,0.9997938973165061,0.9993360638300111,0.9999808807075415,1.2143723072720936,0.5914092885407667,0.1694890856742859
diagnostic-single-base,N_J,N_J,24,ADP,0,107,0.9955365474945724,0.9820933061595427,0.9989318048311575,13.369131575446357,2.345775280496832,1.0
diagnostic-single-base,N_J,N_J,24,ADP,1,107,0.9987598184203887,0.9914325494384126,0.999610214355776,7.27769854311781,1.6587136079790856,0.6571917682886124
diagnostic-single-base,N_J,N_J,24,ADP,2,107,0.9994918605614417,0.9983111185586525,0.9998714812981311,3.14227408682396,1.172887640248416,0.42428654432296753
diagnostic-single-base,N_J,N_J,24,ADP,3,107,0.9997569564626511,0.9993277956469675,0.9999353002905836,1.7252477367059584,0.8293568039895428,0.27050480246543884
diagnostic-single-base,N_J,N_J,24,ADP,4,107,0.9997731569781368,0.9993360638300111,0.9999635226203136,1.149181067905623,0.586443820124208,0.169460266828537
diagnostic-single-base,solver_max_steps,k_max,50,ADP,0,95,0.9956616059307833,0.9820933061358799,0.9990857457427265,13.620792669003324,2.3656371541630676,1.0
diagnostic-single-base,solver_max_steps,k_max,50,ADP,1,95,0.9987598184211369,0.9929901796700773,0.9996092758175555,7.741885575660989,1.6727580735355512,0.6571917682886124
diagnostic-single-base,solver_max_steps,k_max,50,ADP,2,95,0.9994918605607757,0.9983111185581371,0.9998732286839626,3.2172419035179196,1.1828185770815336,0.42428654432296753
diagnostic-single-base,solver_max_steps,k_max,50,ADP,3,95,0.9997582131200313,0.9993138042311973,0.9999353002903191,1.875322951209653,0.8363790367677754,0.27050480246543884
diagnostic-single-base,solver_max_steps,k_max,50,ADP,4,95,0.9997854576667276,0.9993360638285524,0.9999439020461931,1.214372307640534,0.5914092885407667,0.169460266828537
diagnostic-single-base,lambda_penalty,λ,0.05,ADP,0,96,0.9955990767126779,0.9820933061595427,0.999083099031351,13.620792669003324,2.3656371541630676,1.0
diagnostic-single-base,lambda_penalty,λ,0.05,ADP,1,96,0.9987598184203887,0.9929901796786541,0.9996092087802585,7.74188557646705,1.6727580735355512,0.6571917682886124
diagnostic-single-base,lambda_penalty,λ,0.05,ADP,2,96,0.9994911898315415,0.9983111185586525,0.9998730390906287,3.2525839713543663,1.1828185770815336,0.42428654432296753
diagnostic-single-base,lambda_penalty,λ,0.05,ADP,3,96,0.9997575847913411,0.9993151468528405,0.999935300290782,1.8980709070252684,0.8363790367677754,0.2704601287841797
diagnostic-single-base,lambda_penalty,λ,0.05,ADP,4,96,0.999785240944002,0.9993360638300111,0.9999428488066895,1.2193224050184013,0.5914092885407667,0.1693689152598381
diagnostic-single-base,N_loc,N_loc,10,ADP,0,12,0.9961222951127948,0.988546191722815,0.99848290390697,8.059274437217114,2.012290728569628,1.0
diagnostic-single-base,N_loc,N_loc,10,ADP,1,12,0.9983277659163472,0.9929975569142692,0.9992052486238738,4.003800727215057,1.4229044198904022,0.6583378687500954
diagnostic-single-base,N_loc,N_loc,10,ADP,2,12,0.9993356166521552,0.9984312058083324,0.9997458288482749,1.925911755247439,1.006145364284814,0.42840576171875
diagnostic-single-base,N_loc,N_loc,10,ADP,3,12,0.9995953606830361,0.9991536071874997,0.9998741271284196,1.2542299569552215,0.711452209945201,0.2759062275290489
diagnostic-single-base,N_loc,N_loc,10,ADP,4,12,0.9995633506709625,0.9987255616285422,0.9998831389866748,0.8850038138822375,0.5030726821424067,0.17656926810741425
diagnostic-single-base,N_loc,N_loc,30,ADP,0,12,0.9939266719263566,0.9865330218414055,0.9984148600121275,17.19585335108443,2.607950066458302,1.0
diagnostic-single-base,N_loc,N_loc,30,ADP,1,12,0.9984043794386962,0.9945354711606734,0.9994845558296045,10.488360433247808,1.8440991769885726,0.6568483263254166
diagnostic-single-base,N_loc,N_loc,30,ADP,2,12,0.9993303662512858,0.9984112104631893,0.9998399629816794,4.552420025768202,1.3039750332291509,0.42225202172994614
diagnostic-single-base,N_loc,N_loc,30,ADP,3,12,0.9997963829303689,0.9996178697687668,0.9999361035196647,2.1892597645381677,0.9220495884942861,0.26522594690322876
diagnostic-single-base,N_loc,N_loc,30,ADP,4,12,0.9998124622540051,0.999590117621901,0.9999487021406397,1.407631585211106,0.6519875166145753,0.16203097999095917
diagnostic-single-base,N_phi,N_phi,4,ADP,0,12,0.9945110482971544,0.9700688162999456,0.9992930832776619,13.494962122224841,2.35570621732995,1.0
diagnostic-single-base,N_phi,N_phi,4,ADP,1,12,0.9989425965851533,0.993922731097124,0.9996066668828832,7.690271921121279,1.6657358407573184,0.6564944982528687
diagnostic-single-base,N_phi,N_phi,4,ADP,2,12,0.999295435594336,0.9983765842738982,0.9997164607617448,3.1261138441005474,1.1778531086649748,0.4238169640302658
diagnostic-single-base,N_phi,N_phi,4,ADP,3,12,0.9996753845639673,0.9991418854694171,0.9997962415273461,1.8411351274149879,0.8328679203786591,0.26983654499053955
diagnostic-single-base,N_phi,N_phi,4,ADP,4,12,0.9997742475242137,0.9991517737306987,0.9998960242853694,1.165163345263033,0.5889265543324873,0.16897843033075333
diagnostic-single-base,N_phi,N_phi,16,ADP,0,12,0.9960773719721279,0.9855376529028599,0.999093685876853,13.494962122224841,2.35570621732995,1.0
diagnostic-single-base,N_phi,N_phi,16,ADP,1,12,0.9989084638342063,0.9958601563988044,0.9996506411065532,7.521770234932023,1.6657358407573184,0.6564949825406075
diagnostic-single-base,N_phi,N_phi,16,ADP,2,12,0.9994972412524029,0.998601539552652,0.999918819084387,3.144354404579296,1.1778531086649748,0.4238196387887001
diagnostic-single-base,N_phi,N_phi,16,ADP,3,12,0.9997911316565473,0.9994885312555372,0.9999348282477953,1.8230333000348273,0.8328679203786591,0.2700161337852478
diagnostic-single-base,N_phi,N_phi,16,ADP,4,12,0.9998145973277504,0.999553718869526,0.9999143843281586,1.2226052060503714,0.5889265543324873,0.16910623759031296
diagnostic-single-base,N_J,N_J,48,ADP,0,12,0.9961229908489015,0.9895297441554826,0.9992573279285307,28.090880127857606,2.422581534153479,1.0
diagnostic-single-base,N_J,N_J,48,ADP,1,12,0.9991612742645506,0.9973648797758954,0.9995978284118108,16.002213575136487,1.7130238307772347,0.655519150197506
diagnostic-single-base,N_J,N_J,48,ADP,2,12,0.9996252143282451,0.9992114568935877,0.9998311729899005,7.583612377379678,1.2112907670767394,0.4240627661347389
diagnostic-single-base,N_J,N_J,48,ADP,3,12,0.9997786948279932,0.9995454875487324,0.9999167868833205,3.9122169022238253,0.8565119153886172,0.2698298469185829
diagnostic-single-base,N_J,N_J,48,ADP,4,12,0.9998269421527493,0.9996676061180734,0.9999470617647039,2.3617670115152802,0.6056453835383697,0.16889804601669312
diagnostic-single-base,solver_max_steps,k_max,20,ADP,0,12,0.996169183955433,0.9869673278588617,0.9988816862934585,13.494962122224841,2.35570621732995,1.0
diagnostic-single-base,solver_max_steps,k_max,20,ADP,1,12,0.9987618551905986,0.991988845938796,0.9994974302715641,7.50979205979243,1.6657358407573184,0.6564312130212784
diagnostic-single-base,solver_max_steps,k_max,20,ADP,2,12,0.9995290481181426,0.9985754958308373,0.9998683629510587,3.1467890129016514,1.1778531086649748,0.42389068752527237
diagnostic-single-base,solver_max_steps,k_max,20,ADP,3,12,0.9997603373290853,0.9995331193662194,0.9999243138416412,1.774341968659104,0.8328679203786591,0.2699413523077965
diagnostic-single-base,solver_max_steps,k_max,20,ADP,4,12,0.9997539268521876,0.9993991643247505,0.9999490575476816,1.1817766875888582,0.5889265543324873,0.1690615564584732
diagnostic-single-base,solver_max_steps,k_max,80,ADP,0,12,0.996169183955433,0.9869673278588617,0.9988816862934585,13.494962122224841,2.35570621732995,1.0
