run,seed,n,d,n_over_d,centers,directions,target_density,actual_density,batch_size,direct_sec,matrix_sec,relative_I,relative_U,relative_mass,relative_mean,relative_n_eff,eta_direct_max,eta_matrix_max,eta_direct_max_n_eff_gt_1,eta_matrix_max_n_eff_gt_1,single_point_centers,max_relative_error,finite,within_tolerance
1,42,500,100,5.0,64,10,0.15,0.15,16,0.03794337499857647,0.027496290000271983,6.702224693777849e-16,6.984633628061318e-16,0.0,2.863275249828219e-16,0.0,1.0678002946162177e-15,1.5877488211364299e-15,1.0678002946162177e-15,1.5877488211364299e-15,0,6.984633628061318e-16,1,1
2,43,500,100,5.0,64,10,0.15,0.15,16,0.03621811300399713,0.026697847002651542,8.548605345284579e-16,6.755983056333365e-16,0.0,2.7580246528928295e-16,0.0,1.4992401970338268e-15,1.9933692241842985e-15,1.4992401970338268e-15,1.9933692241842985e-15,0,8.548605345284579e-16,1,1
3,44,500,100,5.0,64,10,0.15,0.14996875,16,0.03171746699808864,0.02750350199494278,5.481012424313156e-16,6.737516419821055e-16,0.0,2.7994728052868407e-16,0.0,8.9893963244266e-14,8.068545819035914e-13,8.9893963244266e-14,8.068545819035914e-13,0,6.737516419821055e-16,1,1
4,45,500,100,5.0,64,10,0.15,0.15,16,0.03047715000138851,0.027186650993826333,6.757454713262316e-16,6.531589635626934e-16,0.0,2.5557770300958543e-16,0.0,4.052016255391219e-15,1.0,4.052016255391219e-15,6.040990533541249e-15,1,6.757454713262316e-16,1,1
5,46,500,100,5.0,64,10,0.15,0.15,16,0.030544656001438852,0.026738811000541318,7.547227222881008e-16,6.460160906596847e-16,0.0,2.407610387519514e-16,0.0,2.6439462779059508e-15,1.4913146209978716e-14,2.6439462779059508e-15,1.4913146209978716e-14,0,7.547227222881008e-16,1,1
6,47,500,100,5.0,64,10,0.15,0.15,16,0.030168220000632573,0.026862764003453776,6.458735421665777e-16,6.387565224585924e-16,0.0,2.857684890948996e-16,0.0,7.790853876471035e-16,5.845302082099573e-15,7.790853876471035e-16,5.845302082099573e-15,0,6.458735421665777e-16,1,1
7,48,500,100,5.0,64,10,0.15,0.15,16,0.030251452000811696,0.026667808000638615,6.405301088625674e-16,6.555353709332995e-16,0.0,2.6366802462833633e-16,0.0,1.1663085070781695e-15,2.9781828686924387e-15,1.1663085070781695e-15,2.9781828686924387e-15,0,6.555353709332995e-16,1,1
8,49,500,100,5.0,64,10,0.15,0.15,16,0.029648173003806733,0.025705881002068054,5.697866644910694e-16,6.681459092177391e-16,0.0,2.6362369946212496e-16,0.0,1.5683567560549582e-15,2.7859387907232575e-15,1.5683567560549582e-15,2.7859387907232575e-15,0,6.681459092177391e-16,1,1
9,50,500,100,5.0,64,10,0.15,0.15,16,0.030018061996088363,0.02682626899331808,6.072779570643208e-16,6.530403260661495e-16,0.0,2.583437687628181e-16,0.0,3.4524027647085744e-15,1.0,3.4524027647085744e-15,1.0704005467968651e-14,1,6.530403260661495e-16,1,1
10,51,500,100,5.0,64,10,0.15,0.15,16,0.02963838399591623,0.026347971004724968,6.957200716004128e-16,6.451136930806033e-16,0.0,2.826761607958963e-16,0.0,8.040521470754436e-16,1.0,8.040521470754436e-16,1.4828257826427758e-15,1,6.957200716004128e-16,1,1
11,52,500,100,5.0,64,10,0.15,0.15,16,0.029626736999489367,0.026450254998053424,6.015665949492922e-16,6.312313949813695e-16,0.0,2.792371643755238e-16,0.0,3.1648566863346254e-15,4.964868926687435e-15,3.1648566863346254e-15,4.964868926687435e-15,0,6.312313949813695e-16,1,1
12,53,500,100,5.0,64,10,0.15,0.15,16,0.029734124000242446,0.02640706300007878,6.645017177989601e-16,6.815572982941275e-16,0.0,2.60771773520852e-16,0.0,2.0642006904460608e-15,7.406602455087509e-15,2.0642006904460608e-15,7.406602455087509e-15,0,6.815572982941275e-16,1,1
13,54,500,100,5.0,64,10,0.15,0.15,16,0.02956121900206199,0.025819748996582348,7.470195550028253e-16,6.84001905119518e-16,0.0,2.5858048847052055e-16,0.0,1.0982189228379024e-15,1.0,1.0982189228379024e-15,2.4177010459844637e-15,1,7.470195550028253e-16,1,1
14,55,500,100,5.0,64,10,0.15,0.15,16,0.029109920003975276,0.02631843199924333,6.963927015962038e-16,6.550978168986252e-16,0.0,2.754221529946795e-16,0.0,3.773396371615948e-15,1.3337512360976696e-14,3.773396371615948e-15,1.3337512360976696e-14,0,6.963927015962038e-16,1,1
15,56,500,100,5.0,64,10,0.15,0.15,16,0.029449531000864226,0.026336249997257255,7.370111603153979e-16,6.751441182998163e-16,0.0,2.447626382631633e-16,0.0,2.2939265814216193e-15,1.0,2.2939265814216193e-15,2.3708271943090965e-14,1,7.370111603153979e-16,1,1
16,57,500,100,5.0,64,10,0.15,0.15,16,0.02927704499597894,0.026258799000061117,7.039227424681324e-16,6.678200567685158e-16,0.0,2.6935572672433904e-16,0.0,2.0558672255014403e-15,1.5327182823360403e-15,2.0558672255014403e-15,1.5327182823360403e-15,0,7.039227424681324e-16,1,1
17,58,500,100,5.0,64,10,0.15,0.15,16,0.03012608800054295,0.026543200001469813,7.191226564538251e-16,6.461756948407361e-16,0.0,2.590846446265775e-16,0.0,1.2025563169645607e-14,1.0,1.2025563169645607e-14,2.4271106153369504e-14,1,7.191226564538251e-16,1,1
18,59,500,100,5.0,64,10,0.15,0.15,16,0.029856228997232392,0.025514228000247385,5.906189829235467e-16,6.563641816433868e-16,0.0,2.400334644494269e-16,0.0,1.88568584420442e-13,1.5114141243356387e-12,1.88568584420442e-13,1.5114141243356387e-12,0,6.563641816433868e-16,1,1
19,60,500,100,5.0,64,10,0.15,0.15,16,0.029961341999296565,0.026333384004828986,6.123300419583795e-16,6.557880430716837e-16,0.0,2.8836105618523903e-16,0.0,7.948369630814584e-16,3.1666035577422217e-15,7.948369630814584e-16,3.1666035577422217e-15,0,6.557880430716837e-16,1,1
20,61,500,100,5.0,64,10,0.15,0.14996875,16,0.02952266699867323,0.026256735996867064,6.946362637315179e-16,6.68558277411141e-16,0.0,2.811167459600525e-16,0.0,3.906419885776931e-15,6.205176460205074e-14,3.906419885776931e-15,6.205176460205074e-14,0,6.946362637315179e-16,1,1
21,62,500,100,5.0,64,10,0.15,0.15,16,0.029627814001287334,0.02634340499935206,5.93938299385291e-16,6.833308999272701e-16,0.0,2.5107534033235413e-16,0.0,2.7156464714421204e-14,1.0161773893139008e-13,2.7156464714421204e-14,1.0161773893139008e-13,0,6.833308999272701e-16,1,1
22,63,500,100,5.0,64,10,0.15,0.15,16,0.029496823997760657,0.026361791999079287,6.219452006458127e-16,7.348243542720597e-16,0.0,2.7828410660913377e-16,0.0,1.680189663714909e-15,1.7040221412144143e-15,1.680189663714909e-15,1.7040221412144143e-15,0,7.348243542720597e-16,1,1
23,64,500,100,5.0,64,10,0.15,0.15,16,0.028415516004315577,0.02492350499960594,6.507365503506113e-16,6.514994799301492e-16,0.0,2.8612219166795074e-16,0.0,1.9655519270787875e-15,6.080926274399986e-15,1.9655519270787875e-15,6.080926274399986e-15,0,6.514994799301492e-16,1,1
24,65,500,100,5.0,64,10,0.15,0.15,16,0.028840554994530976,0.025693567004054785,5.952394566747603e-16,6.78539887624817e-16,0.0,2.6714673526371685e-16,0.0,2.995262257133525e-15,4.447407826788559e-15,2.995262257133525e-15,4.447407826788559e-15,0,6.78539887624817e-16,1,1
25,66,500,100,5.0,64,10,0.15,0.15,16,0.029195741000876296,0.0257869569977629,6.114527124527132e-16,6.641964733295097e-16,0.0,2.880538105465917e-16,0.0,9.234364819818167e-16,8.275522475112686e-16,9.234364819818167e-16,8.275522475112686e-16,0,6.641964733295097e-16,1,1
26,67,500,100,5.0,64,10,0.15,0.15,16,0.028991841994866263,0.025549129997671116,7.5943244124644495e-16,6.646272258426034e-16,0.0,2.72307930261079e-16,0.0,1.541949995084428e-15,1.0793649965590971e-14,1.541949995084428e-15,1.0793649965590971e-14,0,7.5943244124644495e-16,1,1
27,68,500,100,5.0,64,10,0.15,0.15,16,0.029149640999094117,0.025538875001075212,8.359857098349858e-16,7.110219474227155e-16,0.0,2.39995464400804e-16,0.0,3.350322017135568e-14,1.0,3.350322017135568e-14,4.828194255957634e-14,1,8.359857098349858e-16,1,1
28,69,500,100,5.0,64,10,0.15,0.15,16,0.030169015997671522,0.02565750700159697,6.951052672188388e-16,6.537827622904813e-16,0.0,2.5613867693083774e-16,0.0,1.2160376894676858e-14,1.0,1.2160376894676858e-14,1.5858269283701298e-14,1,6.951052672188388e-16,1,1
29,70,500,100,5.0,64,10,0.15,0.14996875,16,0.02917813499516342,0.0254163179997704,6.390675156951664e-16,6.607167517030107e-16,0.0,2.6990439933895374e-16,0.0,1.2123686817798973e-15,6.4280864004814794e-15,1.2123686817798973e-15,6.4280864004814794e-15,0,6.607167517030107e-16,1,1
30,71,500,100,5.0,64,10,0.15,0.15,16,0.028799937004805543,0.025760445998457726,6.537934684489977e-16,7.224815324032089e-16,0.0,2.521630675594411e-16,0.0,2.21331467094516e-14,1.0,2.21331467094516e-14,1.2672365175203172e-14,1,7.224815324032089e-16,1,1
31,72,500,100,5.0,64,10,0.15,0.15,16,0.028771880999556743,0.02535654399980558,7.321299595393443e-16,6.289476923424566e-16,0.0,2.8716399658872276e-16,0.0,2.056697619878972e-15,1.6394818169892587e-14,2.056697619878972e-15,1.6394818169892587e-14,0,7.321299595393443e-16,1,1
32,73,500,100,5.0,64,10,0.15,0.15,16,0.029009006000705995,0.02547509600117337,6.35301491891662e-16,6.852686213482332e-16,0.0,2.441579313842734e-16,0.0,1.6763493421680767e-15,1.0,1.6763493421680767e-15,4.610691012198905e-15,1,6.852686213482332e-16,1,1
33,74,500,100,5.0,64,10,0.15,0.15,16,0.030133363005006686,0.02553910300048301,6.841140158256986e-16,6.769982924006432e-16,0.0,2.631590086384059e-16,0.0,2.128971229824669e-15,7.027655989880752e-15,2.128971229824669e-15,7.027655989880752e-15,0,6.841140158256986e-16,1,1
34,75,500,100,5.0,64,10,0.15,0.15,16,0.029252804997668136,0.025564517003658693,6.97211742246252e-16,6.76625525145896e-16,0.0,2.4874273233784957e-16,0.0,1.5328678106587217e-11,1.3562320909872015e-11,1.5328678106587217e-11,1.3562320909872015e-11,0,6.97211742246252e-16,1,1
35,76,500,100,5.0,64,10,0.15,0.14996875,16,0.029347326002607588,0.02572024399705697,7.869262802949194e-16,6.711917715196358e-16,0.0,2.82846305301632e-16,0.0,8.475160439453421e-15,2.9341644718488724e-14,8.475160439453421e-15,2.9341644718488724e-14,0,7.869262802949194e-16,1,1
36,77,500,100,5.0,64,10,0.15,0.15,16,0.029067748997476883,0.025703375999000855,6.055880488118091e-16,6.507583865027039e-16,0.0,2.6095968049805696e-16,0.0,6.825459187741929e-15,1.0,6.825459187741929e-15,2.7534094627244906e-14,1,6.507583865027039e-16,1,1
37,78,500,100,5.0,64,10,0.15,0.15,16,0.02843040799780283,0.02547437499742955,6.258229992584317e-16,6.447444183853675e-16,0.0,2.8767238634060606e-16,0.0,3.0995087619332204e-15,4.3711021001622466e-15,3.0995087619332204e-15,4.3711021001622466e-15,0,6.447444183853675e-16,1,1
38,79,500,100,5.0,64,10,0.15,0.15,16,0.028558999998494983,0.025508862003334798,6.303991069956913e-16,6.635895110028049e-16,0.0,2.20389677214207e-16,0.0,4.129073304034652e-15,1.0,4.129073304034652e-15,1.4073666242885923e-14,1,6.635895110028049e-16,1,1
39,80,500,100,5.0,64,10,0.15,0.15,16,0.028688723999948706,0.025538777001202106,5.976993248642322e-16,6.400033469688984e-16,0.0,2.6267417777134313e-16,0.0,3.409938365818103e-15,1.0,3.409938365818103e-15,3.8456527125616464e-14,1,6.400033469688984e-16,1,1
40,81,500,100,5.0,64,10,0.15,0.15,16,0.028926204999152105,0.02555840300192358,7.686421594488722e-16,6.702602182731971e-16,0.0,2.5925382240375076e-16,0.0,3.5358149604213816e-14,1.0,3.5358149604213816e-14,1.6135663509860366e-14,1,7.686421594488722e-16,1,1
41,82,500,100,5.0,64,10,0.15,0.15,16,0.028585159001522698,0.025541552997310646,6.217975422305674e-16,6.257200979905971e-16,0.0,2.6522521794479374e-16,0.0,4.337083729204738e-15,1.806721742149466e-14,4.337083729204738e-15,1.806721742149466e-14,0,6.257200979905971e-16,1,1
42,83,500,100,5.0,64,10,0.15,0.15,16,0.02874037100264104,0.02600932500354247,7.115036921479442e-16,6.532055969051992e-16,0.0,2.575985331105124e-16,0.0,5.411938336311232e-15,8.638286190650734e-15,5.411938336311232e-15,8.638286190650734e-15,0,7.115036921479442e-16,1,1
43,84,500,100,5.0,64,10,0.15,0.15,16,0.028819452003517654,0.02547807699738769,6.625133770064903e-16,6.689253505493782e-16,0.0,2.5828191317558066e-16,0.0,6.247420145524885e-15,3.0782742898859747e-14,6.247420145524885e-15,3.0782742898859747e-14,0,6.689253505493782e-16,1,1
44,85,500,100,5.0,64,10,0.15,0.15,16,0.029229586994915735,0.025404416999663226,7.417837160179277e-16,6.482484926736369e-16,0.0,2.6794158838457713e-16,0.0,3.0953037581571883e-15,7.27945195890013e-15,3.0953037581571883e-15,7.27945195890013e-15,0,7.417837160179277e-16,1,1
45,86,500,100,5.0,64,10,0.15,0.15,16,0.029060355998808518,0.027768806998210493,6.105665143000904e-16,6.838109258204828e-16,0.0,2.7081657685043645e-16,0.0,1.6970821727685953e-15,1.0,1.6970821727685953e-15,2.0847576576898007e-15,1,6.838109258204828e-16,1,1
46,87,500,100,5.0,64,10,0.15,0.15,16,0.028809642004489433,0.02539473400247516,6.598219748744788e-16,6.547442499053804e-16,0.0,2.620982214313273e-16,0.0,2.752066018703236e-15,7.060370114687264e-15,2.752066018703236e-15,7.060370114687264e-15,0,6.598219748744788e-16,1,1
47,88,500,100,5.0,64,10,0.15,0.15,16,0.029228854000393767,0.025621909997425973,6.342948276615887e-16,6.5767231852882635e-16,0.0,2.8157282877599345e-16,0.0,1.8458034077624113e-15,2.5448629981537637e-15,1.8458034077624113e-15,2.5448629981537637e-15,0,6.5767231852882635e-16,1,1
48,89,500,100,5.0,64,10,0.15,0.15,16,0.029406805995677132,0.02558734200283652,6.78609221211436e-16,6.657968540645885e-16,0.0,2.9425974883750683e-16,0.0,9.574390653527352e-16,3.188179672147494e-15,9.574390653527352e-16,3.188179672147494e-15,0,6.78609221211436e-16,1,1
49,90,500,100,5.0,64,10,0.15,0.15,16,0.0291425889954553,0.025580012996215373,6.203257277205777e-16,6.59101793928878e-16,0.0,2.6293811640651684e-16,0.0,1.0833692752206995e-14,7.969021742453899e-14,1.0833692752206995e-14,7.969021742453899e-14,0,6.59101793928878e-16,1,1
50,91,500,100,5.0,64,10,0.15,0.15,16,0.02931796899792971,0.025382100000570063,7.04629883790413e-16,6.543644385767776e-16,0.0,2.5525245674902015e-16,0.0,4.1112511796997434e-15,1.3858455963358597e-14,4.1112511796997434e-15,1.3858455963358597e-14,0,7.04629883790413e-16,1,1
