experiment,scenario_id,method,records,final_runs,failure_rate,cos_beta_final_median,cos_beta_final_q25,cos_beta_final_q75,delta_cos_median,success_08_rate,success_09_rate,local_mass_q05_median,runtime_sec_median,delta_cos_median_ci95_low,delta_cos_median_ci95_high,rho_in_range_rate,local_mass_mean_gate_rate,local_mass_q05_gate_threshold,local_mass_q05_gate_rate,rho_median_trend_max_increase,rho_median_trend_ok,rho_cos_spearman,improvement_rate,growth_median_positive,growth_ci95_low_positive,strong_success,medium_success,growth_pass
4,exp4_d100_nod20_corr0.3_snr10_linear_q0.3,full_adp,121,100,0.97,0.9996997349240516,0.9996983642493286,0.999743677690798,-6.949273935186184e-06,0.03,0.03,19.23907028838715,0.5691991940002481,-1.6108484669374867e-05,-9.366182153192071e-07,1.0,1.0,68.0,0.125,-0.05859375,True,0.3080443055884461,0.0,False,False,False,False,False
4,exp4_d100_nod20_corr0.3_snr10_sin_q0.3,full_adp,107,100,0.99,0.9996118922757825,0.9996118922757825,0.9996118922757825,0.0007013833381919188,0.01,0.01,18.744501262393985,0.5545807485000296,0.0007013833381919188,0.0007013833381919188,1.0,1.0,68.0,0.125,-0.05859375,True,-1.0,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.3_snr10_tanh_q0.3,full_adp,121,100,0.97,0.9992842593326956,0.9992606339381829,0.9993312763806532,0.0006890380409498853,0.03,0.03,17.894928538668534,0.561666623000292,0.0006021819095813896,0.0010563530375801156,1.0,1.0,68.0,0.125,-0.05859375,True,-0.798833390622654,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.3_snr20_linear_q0.3,full_adp,121,100,0.97,0.9999411522679441,0.9999338597499372,0.9999419663728975,-2.20385984028848e-06,0.03,0.03,14.363067601315167,0.5628059219993702,-2.6721667129026017e-06,-1.5886575285284366e-06,1.0,1.0,68.0,0.125,-0.05859375,True,0.40026137037228027,0.0,False,False,False,False,False
4,exp4_d100_nod20_corr0.3_snr20_sin_q0.3,full_adp,114,100,0.98,0.9995553505774271,0.9995356413456924,0.9995750598091617,0.0013897534572447356,0.02,0.02,15.664769878937346,0.5636689110006046,0.0013041527088430982,0.001475354205646373,1.0,1.0,68.0,0.125,-0.05859375,True,-0.9834673422263253,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.3_snr20_tanh_q0.3,full_adp,107,100,0.99,0.9989282403808382,0.9989282403808382,0.9989282403808382,0.0018758872630471046,0.01,0.01,20.29467429305751,0.5374574865004433,0.0018758872630471046,0.0018758872630471046,1.0,1.0,68.0,0.125,-0.05859375,True,-1.0,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.3_snr5_linear_q0.3,full_adp,114,100,0.98,0.9987228153578402,0.9986325576339464,0.9988130730817341,-4.0108467137311976e-05,0.02,0.02,17.20639846545242,0.5569013700001051,-6.359120182319877e-05,-1.662573245142518e-05,1.0,1.0,68.0,0.125,-0.05908203125,True,0.3995623931147292,0.0,False,False,False,False,False
4,exp4_d100_nod20_corr0.3_snr5_sin_q0.3,full_adp,121,100,0.97,0.998406791048237,0.998403202446669,0.9985613826429978,0.0015998878007736916,0.03,0.03,17.026821230269015,0.5623682945001747,0.0014558259057027012,0.0018833814617047473,1.0,1.0,68.0,0.125,-0.05859375,True,-0.9167115507525496,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.3_snr5_tanh_q0.3,full_adp,121,100,0.97,0.9987192457769778,0.9984665212228336,0.9988019535644302,0.000690772950827867,0.03,0.03,22.721956782475708,0.5565883630001736,0.0005978484588583521,0.0010745928102662283,1.0,1.0,68.0,0.125,-0.05859375,True,-0.504420040756214,1.0,True,True,False,False,True
4,exp4_d100_nod20_corr0.7_snr10_linear_q0.3,full_adp,121,100,0.97,0.9997256987772772,0.9997255081832285,0.9997564124103445,1.0358422952716495e-07,0.03,0.03,0.10535383418635205,0.5545665614999962,-3.915070667326326e-06,2.601578198424548e-07,1.0,1.0,68.0,0.125,-0.05859375,True,0.05553847598999765,0.6666666666666666,True,False,False,False,False
