d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,5.0,0.7,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,8.818086620206893,0.031143815136430716,8.815356744448122,8.820816495965664,8.818134599066404,8.813126210134383,8.822404531828408,8.795661690750848,8.838306055474932,12.597335141523434,5.000000000000012,3.955999770471151,6.334538381764008,1.112246674163246,0.9999999999999997
100,1000,5.0,0.7,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,8.815411424134442,0.023733431653827606,8.813331097126964,8.81749175114192,8.814442708406357,8.81112600340083,8.817454785567126,8.798624882995963,8.830854162803842,12.592061012009083,5.0000000000000115,3.9579632336277757,6.330862594876928,1.1020887794853818,0.9999999999999993
100,1000,5.0,0.7,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,8.707322094057323,0.035710521310439336,8.70419192885337,8.710452259261277,8.706805596407898,8.700996767250412,8.711610577744842,8.68254104533312,8.732421533213268,12.438293709154141,5.000000000000011,4.00881110634629,6.248091026464973,1.1046407251327541,0.9999999999999997
100,1000,5.0,0.7,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,8.705476762486164,0.025631113204013505,8.703230096356808,8.70772342861552,8.705081204351846,8.70091206849326,8.70868604317752,8.687968640523884,8.723548783178575,12.435830291931211,5.000000000000011,4.00968198355679,6.246651958634558,1.0999111066833205,0.9999999999999992
100,1000,5.0,0.7,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,7.968037121838765,0.0418798635034024,7.964366189948829,7.9717080537287,7.970317424305238,7.964615471934073,7.974312106086581,7.940089779706386,7.99424259719053,11.386167749007484,5.000000000000004,4.2540188870778515,5.878612931177411,1.0802694465482263,0.9999999999999991
100,1000,5.0,0.7,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,7.968600204446486,0.032009746682337185,7.965794426441135,7.971405982451837,7.967802444866429,7.963825406132628,7.970997640554744,7.947558260163759,7.988755764358171,11.382574921237756,5.0000000000000036,4.255083948839546,5.877627340327089,1.074379473143442,0.9999999999999987
100,1000,5.0,1.0,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,12.597266600295564,0.04449116448061525,12.593366777783034,12.601166422808094,12.597335141523434,12.590180300191978,12.603435045469155,12.565230986786926,12.626151507821332,12.597335141523434,5.000000000000007,3.955999770471143,6.334538381764005,1.1122466741632464,0.9999999999999997
100,1000,5.0,1.0,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,12.593444891620633,0.033904902362610956,12.590472995895665,12.596416787345602,12.592061012009083,12.587322862001187,12.596363979381607,12.56946411856566,12.615505946862632,12.592061012009083,5.000000000000007,3.9579632336277637,6.3308625948769155,1.1020887794853818,0.9999999999999993
100,1000,5.0,1.0,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,12.439031562939032,0.051015030443484766,12.434559898361956,12.443503227516109,12.438293709154141,12.429995381786304,12.445157968206919,12.403630064761602,12.474887904590382,12.438293709154141,5.000000000000007,4.00881110634629,6.248091026464964,1.1046407251327546,0.9999999999999997
100,1000,5.0,1.0,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,12.436395374980238,0.036615876005733544,12.433185851938301,12.439604898022175,12.435830291931211,12.4298743835618,12.440980061682174,12.411383772176977,12.462212547397964,12.435830291931211,5.000000000000007,4.009681983556781,6.2466519586345255,1.0999111066833205,0.9999999999999992
